external_id,name,category_brief,group_category,description,price,image_path,veg_flag,is_bestseller,is_recommended,kind,priority,promote,public_id,cloudflare_image_id,cloudflare_video_id
59000970,Way Free Way Pancakes,Uncategorized,Uncategorized,,149.0,,True,False,False,food,1,False,dab8b8,,
6242592,"8"" Cheese Shot Nacho Pizza",Uncategorized,Uncategorized,Cheese shots loaded with crisps cheese and sauces.,209.0,,True,False,False,food,1,False,0d26fa,,
5941846,Americana Corn Pizza,Uncategorized,Uncategorized,,0.0,,True,False,False,food,1,False,9536c7,,
